epositolegale;Deposito Legale
imtlucca;Scuola IMT Alti Studi Lucca
liuc;Università Carlo Cattaneo - LIUC
luiss;LUISS
roma3;Università degli Studi Roma Tre
unibg;Università degli Studi di Bergamo
unibo;ALMA MATER STUDIORUM - Università di Bologna
unica;Università degli Studi di Cagliari
unimc;Università di Macerata
unicatt;Università Cattolica del Sacro Cuore
unict;Università degli Studi di Catania
unife;Università degli Studi di Ferrara
unimi;Università degli Studi di Milano
unimib;Università degli Studi di Milano Bicocca
unimol;Università degli Studi del Molise
unina;Università degli Studi di Napoli Federico II 
uninsubria;Università degli Studi dell'Insubria
unipi;Università di Pisa
unipr;Università di Parma
uniroma1;Sapienza Università di Roma
unisa;Università degli Studi di Salerno
uniss;Università degli Studi di Sassari
unitn;Università degli Studi di Trento
units;Università degli Studi di Trieste
unive;Università Ca' Foscari Venezia
univpm;Università Politecnica delle Marche
univr;Università degli Studi di Verona
unipd;Università degli Studi di Padova
unimore;Università degli Studi di Modena e Reggio Emilia
uniud;Università degli Studi di Udine
unipa;Università degli Studi di Palermo
polimi;Politecnico Milano 1863
sissa;Scuola Internazionale Superiore di Studi Avanzati
lumsa;Libera Università Maria Ss. Assunta
unifi;Università degli Studi di Firenze
unisi;Università di Siena 1240
unifg;Università degli Studi di Foggia
uniupo;Università del Piemonte Orientale
unibz;Università di Bolzano
sssup;Sant'Anna Scuola Universitaria Superiore Pisa
poliba;Politecnico di Bari
unime;Università degli Studi di Messina
polito;Politecnico di Torino
iulm;Libera Università di Lingue e Comunicazione
uniba;Università degli Studi di Bari Aldo Moro
